tate,yoko,type
19.1,12.7,a
19.5,14.2,a
19,13.5,a
19.3,13,a
20.2,14.7,a
19.6,13.8,a
16.5,13.3,a
19.7,14.5,a
19,13.7,a
15.6,13.8,a
18.7,10.9,a
19,14.2,a
18.6,12.7,a
18.9,13.9,a
18.4,13.5,a
19.4,13.7,a
19.1,14.2,a
20.4,13.9,a
19,13.8,a
17.7,12.9,a
16.6,12,a
19.1,13.2,a
17.8,13.3,a
20.2,12.7,a
18.5,13.3,a
19,14,a
18.9,13,a
20.8,14.1,a
18.3,13,a
19.4,12.9,a
16.6,12.5,a
17.5,13.6,a
19,13.6,a
18.1,13.6,a
18,13.8,a
17.3,13,a
18.4,13.6,a
19.5,14.8,a
16,11.9,a
17,12.8,a
17.3,12.8,a
18.8,13.8,a
18.1,12.9,a
15.7,10.8,b
13.9,10.7,b
16,11.7,b
15,11.3,b
14,11.9,b
14,11.5,b
14,10,b
14.8,10.6,b
14.8,10.6,b
15.1,11.1,b
16,10.7,b
14,10,b
14.7,8.6,b
14.4,11,b
16,10.8,b
16,12.3,b
15.7,10.8,b
15.7,11.5,b
15.1,11.5,b
15.5,10.8,b
15.9,10.8,b
15.8,10.6,b
15.5,10,b
15.3,11.9,b
14.2,10,b
15,10.8,b
15.2,11,b
16.3,11.3,b
15.9,10.5,b
14.2,10.8,b
15.9,11.9,b
15.7,11.5,b
14.8,10,b
15.8,11.5,b
14.6,11.9,b
15.9,11.9,b
14.2,10.6,b
15.4,10,b
15.3,11.5,b
15.8,10,b
14.4,10.9,b
15.7,12.1,b
15.5,11.1,b
14,10.2,b
14.8,10.5,b
14.3,10,b
