id,tate,yoko,type
58,16.0,10.8,b
98,26.4,12.7,c
106,22.1,10.2,c
94,21.5,11.5,c
45,13.9,10.7,b
67,15.3,11.9,b
90,23.0,11.2,c
48,14.0,11.9,b
28,20.8,14.1,a
38,19.5,14.8,a
117,24.0,10.9,c
22,19.1,13.2,a
112,25.3,10.6,c
127,22.0,9.9,c
39,16.0,11.9,a
130,23.9,10.0,c
30,19.4,12.9,a
87,14.0,10.2,b
113,24.4,11.1,c
7,16.5,13.3,a
24,20.2,12.7,a
131,22.4,9.8,c
33,19.0,13.6,a
68,14.2,10.0,b
126,24.4,11.1,c
78,14.6,11.9,b
56,14.7,8.6,b
21,16.6,12.0,a
29,18.3,13.0,a
77,15.8,11.5,b
114,22.0,11.6,c
54,16.0,10.7,b
69,15.0,10.8,b
46,16.0,11.7,b
26,19.0,14.0,a
93,24.0,14.0,c
4,19.3,13.0,a
19,19.0,13.8,a
71,16.3,11.3,b
57,14.4,11.0,b
121,20.0,11.3,c
11,18.7,10.9,a
61,15.7,11.5,b
3,19.0,13.5,a
40,17.0,12.8,a
17,19.1,14.2,a
96,25.9,10.8,c
47,15.0,11.3,b
76,14.8,10.0,b
16,19.4,13.7,a
5,20.2,14.7,a
116,23.0,11.7,c
12,19.0,14.2,a
122,22.5,11.7,c
82,15.3,11.5,b
66,15.5,10.0,b
34,18.1,13.6,a
84,14.4,10.9,b
105,24.6,10.9,c
118,22.7,10.3,c
60,15.7,10.8,b
103,25.1,11.4,c
92,21.9,9.9,c
65,15.8,10.6,b
62,15.1,11.5,b
115,24.1,10.1,c
86,15.5,11.1,b
37,18.4,13.6,a
75,15.7,11.5,b
109,23.3,10.5,c
35,18.0,13.8,a
120,21.8,11.0,c
97,20.8,10.4,c
53,15.1,11.1,b
1,19.1,12.7,a
108,24.9,10.6,c
128,24.8,11.7,c
100,25.4,11.6,c
89,14.3,10.0,b
88,14.8,10.5,b
15,18.4,13.5,a
101,26.5,11.7,c
32,17.5,13.6,a
123,21.6,9.7,c
95,28.1,11.8,c
10,15.6,13.8,a
111,19.4,9.9,c
14,18.9,13.9,a
50,14.0,10.0,b
44,15.7,10.8,b
79,15.9,11.9,b
85,15.7,12.1,b
59,16.0,12.3,b
9,19.0,13.7,a
6,19.6,13.8,a
23,17.8,13.3,a
31,16.6,12.5,a
2,19.5,14.2,a
125,22.8,11.1,c
124,20.5,9.9,c
13,18.6,12.7,a
107,21.5,10.5,c
64,15.9,10.8,b
129,23.6,10.7,c
81,15.4,10.0,b
104,24.7,10.3,c
18,20.4,13.9,a
70,15.2,11.0,b
27,18.9,13.0,a
119,26.8,11.5,c
43,18.1,12.9,a
73,14.2,10.8,b
80,14.2,10.6,b
83,15.8,10.0,b
36,17.3,13.0,a
25,18.5,13.3,a
72,15.9,10.5,b
91,25.0,12.4,c
20,17.7,12.9,a
49,14.0,11.5,b
51,14.8,10.6,b
102,21.4,9.6,c
52,14.8,10.6,b
55,14.0,10.0,b
42,18.8,13.8,a
99,21.1,10.8,c
110,22.7,11.4,c
74,15.9,11.9,b
8,19.7,14.5,a
41,17.3,12.8,a
63,15.5,10.8,b
